id,Name,Minimum players,Maximum players,Average game time,Year released,Mechanics,Category,Designer,More info URL
4895,Outburst!,4,20,60,1986,"Dice Rolling, Partnerships","Party Game, Real-time, Trivia",Brian Hersch,https://boardgamegeek.com/boardgame/4862/outburst
804,Bausack,2,8,45,1987,Auction/Bidding,"Action / Dexterity, Party Game",Klaus Zoch,https://boardgamegeek.com/boardgame/1231/bausack
1339,Illuminati:  Deluxe Edition,2,8,180,1987,"Card Drafting, Dice Rolling, Route/Network Building, Tile Placement, Variable Player Powers","Card Game, Humor, Negotiation, Political",Steve Jackson (I),https://boardgamegeek.com/boardgame/28/illuminati-deluxe-edition
1377,Abalone,2,2,30,1987,Grid Movement,Abstract Strategy,"Michel Lalet, Laurent Levi",https://boardgamegeek.com/boardgame/526/abalone
1516,The Fury of Dracula,2,4,180,1987,"Partnerships, Point to Point Movement, Secret Unit Deployment, Variable Player Powers","Adventure, Deduction, Fighting, Horror, Novel-based",Stephen Hand,https://boardgamegeek.com/boardgame/936/fury-dracula
1722,Shark,2,6,90,1987,"Commodity Speculation, Dice Rolling, Stock Holding",Economic,H. Jean Vanaise,https://boardgamegeek.com/boardgame/433/shark
1771,Raid on St. Nazaire,1,1,180,1987,Point to Point Movement,"Wargame, World War II","Robert G. Markham, Mark Seaman",https://boardgamegeek.com/boardgame/1425/raid-st-nazaire
2291,Black Vienna,3,6,60,1987,Paper-and-Pencil,"Card Game, Deduction, Spies/Secret Agents",Gilbert Obermair,https://boardgamegeek.com/boardgame/756/black-vienna
2410,Auf Achse,2,6,60,1987,"Auction/Bidding, Pick-up and Deliver, Roll / Spin and Move","Economic, Transportation",Wolfgang Kramer,https://boardgamegeek.com/boardgame/110/auf-achse
2588,Star Wars: Star Warriors,2,6,120,1987,"Action / Movement Programming, Hex-and-Counter, Simultaneous Action Selection","Movies / TV / Radio theme, Science Fiction","Peter Corless, Doug Kaufman",https://boardgamegeek.com/boardgame/3593/star-wars-star-warriors
2591,Thunder at Cassino,1,2,360,1987,"Area-Impulse, Dice Rolling","Wargame, World War II",Courtney F. Allen,https://boardgamegeek.com/boardgame/755/thunder-cassino
2646,7th Fleet,2,2,120,1987,"Dice Rolling, Hex-and-Counter","Modern Warfare, Nautical, Wargame",Joseph M. Balkoski,https://boardgamegeek.com/boardgame/4854/7th-fleet
2663,Patton's Best,1,1,90,1987,"Area Control / Area Influence, Area Movement, Dice Rolling, Role Playing, Simulation","Wargame, World War II",Bruce Shelley,https://boardgamegeek.com/boardgame/4556/pattons-best
2685,"Warhammer 40,000: Rogue Trader",2,2,120,1987,"Dice Rolling, Modular Board, Variable Player Powers","Book, Miniatures, Science Fiction",Rick Priestley,https://boardgamegeek.com/boardgame/11106/warhammer-40000-rogue-trader
2783,Blood Royale,3,5,240,1987,"Pick-up and Deliver, Set Collection","Medieval, Negotiation, Political, Territory Building","Derek Carver, Paul Cockburn",https://boardgamegeek.com/boardgame/248/blood-royale
3129,Schoko & Co.,2,4,180,1987,"Auction/Bidding, Commodity Speculation",Economic,"Yves Hirschfeld, Gilles Monnet",https://boardgamegeek.com/boardgame/57/schoko-co
3206,Arkham Horror,1,8,180,1987,Co-operative Play,"Adventure, Horror, Novel-based","Charlie Krank, Richard Launius, Sandy Petersen, Lynn Willis",https://boardgamegeek.com/boardgame/34/arkham-horror
3282,The Really Nasty Horse Racing Game,2,6,90,1987,Betting/Wagering,"Animals, Racing",Simon Knock,https://boardgamegeek.com/boardgame/126/really-nasty-horse-racing-game
3415,Dinosaurs of the Lost World,1,4,90,1987,Modular Board,"Adventure, Novel-based, Science Fiction",Mick (Mike) Uhl,https://boardgamegeek.com/boardgame/393/dinosaurs-lost-world
3468,Air Superiority,1,6,60,1987,"Dice Rolling, Hex-and-Counter","Aviation / Flight, Modern Warfare, Wargame",J. D. Webster,https://boardgamegeek.com/boardgame/3613/air-superiority
3516,Block Mania,2,2,120,1987,"Action Point Allowance System, Dice Rolling","Comic Book / Strip, Science Fiction, Wargame",Richard Halliwell,https://boardgamegeek.com/boardgame/330/block-mania
4207,Western Front Tank Leader,2,2,240,1987,"Hex-and-Counter, Simulation","Wargame, World War II",Leonard Quam,https://boardgamegeek.com/boardgame/6642/western-front-tank-leader
